Name,Number of nodes,Number of edges,Number of deliver edges,Cost,Time (ms),Time (s)
C_1.txt,11,13,7,1276.01,200,0
C_10.txt,14,32,12,53034.4,304,0
C_11.txt,14,32,17,51538.4,399,0
C_12.txt,14,32,18,532223.0,460,0
C_13.txt,17,35,21,6676.73,623,0
C_14.txt,17,35,17,36956.9,460,0
C_15.txt,17,35,21,14561.1,516,0
C_16.txt,17,35,15,54801.7,364,0
C_17.txt,17,35,16,59665.0,411,0
C_18.txt,17,35,16,623244.0,405,0
C_2.txt,11,13,7,10123.7,209,0
C_3.txt,11,13,4,790.26,168,0
C_4.txt,11,13,5,12268.1,191,0
C_5.txt,11,13,8,26442.8,231,0
C_6.txt,11,13,4,62559.7,185,0
C_7.txt,14,32,19,6616.96,464,0
C_8.txt,14,32,15,44151.6,392,0
C_9.txt,14,32,14,7660.18,368,0
E_1.txt,7,12,12,2774.26,300,0
E_10.txt,10,18,18,130968.0,511,0
E_11.txt,10,18,18,57945.7,435,0
E_12.txt,10,18,18,576867.0,443,0
E_13.txt,20,32,32,17727.9,897,0
E_14.txt,20,32,32,117500.0,898,0
E_15.txt,20,32,32,41872.6,897,0
E_16.txt,20,32,32,308377.0,910,0
E_17.txt,20,32,32,227804.0,924,0
E_18.txt,20,32,32,2097650.0,926,0
E_2.txt,7,12,12,17494.2,340,0
E_3.txt,7,12,12,4616.5,366,0
E_4.txt,7,12,12,29314.9,336,0
E_5.txt,7,12,12,25636.6,326,0
E_6.txt,7,12,12,284042.0,321,0
E_7.txt,10,18,18,4760.13,517,0
E_8.txt,10,18,18,40626.9,466,0
E_9.txt,10,18,18,8909.54,458,0
H_1.txt,6,11,6,967.267,203,0
H_10.txt,10,30,16,59852.9,406,0
H_11.txt,11,35,16,11324.4,421,0
H_12.txt,11,35,8,35451.5,244,0
H_13.txt,12,40,26,16814.8,1047,1
H_14.txt,12,40,21,167319.0,556,0
H_15.txt,14,48,23,22004.0,616,0
H_16.txt,14,48,24,264329.0,628,0
H_17.txt,18,22,13,7439.84,357,0
H_18.txt,18,22,13,74897.8,360,0
H_19.txt,21,26,15,10354.5,424,0
H_2.txt,6,11,3,2948.41,182,0
H_20.txt,21,26,13,77509.3,356,0
H_21.txt,24,30,17,23207.3,470,0
H_22.txt,24,30,16,132437.0,412,0
H_23.txt,27,33,15,17317.1,397,0
H_24.txt,27,33,14,94952.5,373,0
H_3.txt,7,15,4,302.947,189,0
H_4.txt,7,15,9,28379.1,257,0
H_5.txt,8,20,9,1956.73,256,0
H_6.txt,8,20,4,6963.49,177,0
H_7.txt,9,25,11,2931.53,290,0
H_8.txt,9,25,12,39479.0,324,0
H_9.txt,10,30,16,9066.39,408,0
