Name,Number of nodes,Number of edges,Number of deliver edges,Cost,Time (ms),Time (s)
C_1.txt,11,13,7,1276.01,3,0
C_10.txt,14,32,12,52198.7,19,0
C_11.txt,14,32,17,46519.9,57,0
C_12.txt,14,32,18,521978.0,29,0
C_13.txt,17,35,21,6305.93,64,0
C_14.txt,17,35,17,32109.6,66,0
C_15.txt,17,35,21,14398.7,128,0
C_16.txt,17,35,15,54801.7,16,0
C_17.txt,17,35,16,58197.5,37,0
C_18.txt,17,35,16,579679.0,57,0
C_2.txt,11,13,7,10123.7,4,0
C_3.txt,11,13,4,790.26,2,0
C_4.txt,11,13,5,12268.1,2,0
C_5.txt,11,13,8,27251.6,6,0
C_6.txt,11,13,4,62559.7,2,0
C_7.txt,14,32,19,6285.9,64,0
C_8.txt,14,32,15,36183.2,40,0
C_9.txt,14,32,14,7636.87,19,0
E_1.txt,7,12,12,2574.37,14,0
E_10.txt,10,18,18,122115.0,51,0
E_11.txt,10,18,18,57945.7,24,0
E_12.txt,10,18,18,528328.0,102,0
E_13.txt,20,32,32,17727.9,94,0
E_14.txt,20,32,32,107699.0,207,0
E_15.txt,20,32,32,41532.2,120,0
E_16.txt,20,32,32,306785.0,132,0
E_17.txt,20,32,32,187777.0,230,0
E_18.txt,20,32,32,1732000.0,159,0
E_2.txt,7,12,12,14589.2,26,0
E_3.txt,7,12,12,4616.5,11,0
E_4.txt,7,12,12,26886.9,22,0
E_5.txt,7,12,12,25636.6,11,0
E_6.txt,7,12,12,279873.0,15,0
E_7.txt,10,18,18,4760.13,25,0
E_8.txt,10,18,18,38997.7,57,0
E_9.txt,10,18,18,8780.69,30,0
H_1.txt,6,11,6,967.267,6,0
H_10.txt,10,30,16,56490.7,47,0
H_11.txt,11,35,16,10210.7,95,0
H_12.txt,11,35,8,34064.9,9,0
H_13.txt,12,40,26,16631.4,79,0
H_14.txt,12,40,21,162864.0,53,0
H_15.txt,14,48,23,20191.2,116,0
H_16.txt,14,48,24,235385.0,189,0
H_17.txt,18,22,13,7042.8,27,0
H_18.txt,18,22,13,73902.0,16,0
H_19.txt,21,26,15,10159.8,25,0
H_2.txt,6,11,3,2948.41,1,0
H_20.txt,21,26,13,77509.3,13,0
H_21.txt,24,30,17,20398.5,52,0
H_22.txt,24,30,16,105082.0,30,0
H_23.txt,27,33,15,17317.1,18,0
H_24.txt,27,33,14,90342.6,21,0
H_3.txt,7,15,4,302.947,2,0
H_4.txt,7,15,9,28379.1,6,0
H_5.txt,8,20,9,1994.51,8,0
H_6.txt,8,20,4,6963.49,2,0
H_7.txt,9,25,11,2931.16,11,0
H_8.txt,9,25,12,37907.4,22,0
H_9.txt,10,30,16,8765.56,23,0
large_1.txt,10,16,16,5224.29,20,0
large_10.txt,10,20,20,84455.2,40,0
large_11.txt,10,20,20,62556.4,45,0
large_12.txt,10,20,20,628476.0,86,0
large_13.txt,10,27,27,10324.1,137,0
large_14.txt,10,27,27,86561.5,169,0
large_15.txt,10,27,27,30171.7,118,0
large_16.txt,10,27,27,242005.0,86,0
large_17.txt,10,27,27,153085.0,93,0
large_18.txt,10,27,27,1305250.0,158,0
large_19.txt,20,53,53,42822.8,539,0
large_2.txt,10,16,16,29003.2,30,0
large_20.txt,20,53,53,286172.0,518,0
large_21.txt,20,53,53,107155.0,648,0
large_22.txt,20,53,53,953392.0,442,0
large_23.txt,20,53,53,626825.0,574,0
large_24.txt,20,53,53,4995990.0,1314,1
large_25.txt,20,75,75,91020.4,1011,1
large_26.txt,20,75,75,392367.0,4643,4
large_27.txt,20,75,75,172695.0,804,0
large_28.txt,20,75,75,1532250.0,2306,2
large_29.txt,20,75,75,969131.0,1306,1
large_3.txt,10,16,16,6691.71,20,0
large_30.txt,20,75,75,10366600.0,2294,2
large_31.txt,30,110,110,210901.0,2738,2
large_32.txt,30,110,110,1300820.0,6267,6
large_33.txt,30,110,110,378870.0,3826,3
large_34.txt,30,110,110,3472190.0,8391,8
large_35.txt,30,110,110,2077490.0,1760,1
large_36.txt,30,110,110,20490300.0,3718,3
large_37.txt,30,162,162,521715.0,10056,10
large_38.txt,30,162,162,2762230.0,13151,13
large_39.txt,30,162,162,827543.0,10093,10
large_4.txt,10,16,16,51489.9,26,0
large_40.txt,30,162,162,6177000.0,18996,18
large_41.txt,30,162,162,6447470.0,19065,19
large_42.txt,30,162,162,47311500.0,11956,11
large_43.txt,30,232,232,855517.0,17360,17
large_44.txt,30,232,232,4983260.0,32488,32
large_45.txt,30,232,232,1952000.0,23002,23
large_46.txt,30,232,232,14334200.0,31511,31
large_47.txt,30,232,232,9958300.0,23107,23
large_48.txt,30,232,232,90932000.0,32277,32
large_5.txt,10,16,16,45697.9,19,0
large_6.txt,10,16,16,655970.0,33,0
large_7.txt,10,20,20,6865.42,43,0
large_8.txt,10,20,20,37581.2,75,0
large_9.txt,10,20,20,12284.2,37,0
small_1.txt,7,8,8,1130.41,5,0
small_10.txt,7,9,9,23535.9,7,0
small_11.txt,7,9,9,13144.0,7,0
small_12.txt,7,9,9,93620.6,30,0
small_13.txt,8,10,10,2490.87,11,0
small_14.txt,8,10,10,13121.6,14,0
small_15.txt,8,10,10,4110.82,7,0
small_16.txt,8,10,10,24512.4,10,0
