Name,Number of nodes,Number of edges,Number of deliver edges,Cost,Time (ms),Time (s)
C_1.txt,11,13,7,1276.01,75,0
C_10.txt,14,32,12,52198.7,374,0
C_11.txt,14,32,17,46519.9,1322,1
C_12.txt,14,32,18,509215.0,1406,1
C_13.txt,17,35,21,5757.52,2420,2
C_14.txt,17,35,17,32109.6,1312,1
C_15.txt,17,35,21,14318.1,1827,1
C_16.txt,17,35,15,54801.7,615,0
C_17.txt,17,35,16,57568.2,794,0
C_18.txt,17,35,16,556242.0,1064,1
C_2.txt,11,13,7,10123.7,84,0
C_3.txt,11,13,4,790.26,40,0
C_4.txt,11,13,5,12268.1,61,0
C_5.txt,11,13,8,26442.8,151,0
C_6.txt,11,13,4,62559.7,30,0
C_7.txt,14,32,19,6070.9,1806,1
C_8.txt,14,32,15,35663.5,828,0
C_9.txt,14,32,14,7636.87,485,0
E_1.txt,7,12,12,2574.37,763,0
E_10.txt,10,18,18,118760.0,1123,1
E_11.txt,10,18,18,57945.7,1502,1
E_12.txt,10,18,18,526079.0,1274,1
E_13.txt,20,32,32,17727.9,7688,7
E_14.txt,20,32,32,94807.1,5930,5
E_15.txt,20,32,32,41532.2,5860,5
E_16.txt,20,32,32,284497.0,6177,6
E_17.txt,20,32,32,187777.0,7833,7
E_18.txt,20,32,32,1669520.0,6298,6
E_2.txt,7,12,12,14589.2,321,0
E_3.txt,7,12,12,4616.5,769,0
E_4.txt,7,12,12,26886.9,350,0
E_5.txt,7,12,12,25636.6,337,0
E_6.txt,7,12,12,278050.0,427,0
E_7.txt,10,18,18,4719.23,1561,1
E_8.txt,10,18,18,37098.9,1131,1
E_9.txt,10,18,18,8780.69,2381,2
H_1.txt,6,11,6,967.267,67,0
H_10.txt,10,30,16,54537.4,1012,1
H_11.txt,11,35,16,10210.7,1090,1
H_12.txt,11,35,8,34064.9,117,0
H_13.txt,12,40,26,16595.7,4355,4
H_14.txt,12,40,21,156114.0,1803,1
H_15.txt,14,48,23,19889.7,3632,3
H_16.txt,14,48,24,229724.0,2673,2
H_17.txt,18,22,13,7346.09,391,0
H_18.txt,18,22,13,73902.0,623,0
H_19.txt,21,26,15,10159.8,711,0
H_2.txt,6,11,3,2948.41,24,0
H_20.txt,21,26,13,77509.3,382,0
H_21.txt,24,30,17,21722.1,996,0
H_22.txt,24,30,16,105082.0,822,0
H_23.txt,27,33,15,17317.1,631,0
H_24.txt,27,33,14,88780.1,512,0
H_3.txt,7,15,4,302.947,40,0
H_4.txt,7,15,9,28379.1,165,0
H_5.txt,8,20,9,1994.51,210,0
H_6.txt,8,20,4,6963.49,29,0
H_7.txt,9,25,11,2931.16,361,0
H_8.txt,9,25,12,37907.4,347,0
H_9.txt,10,30,16,8734.54,1068,1
large_1.txt,10,16,16,5224.29,1538,1
large_10.txt,10,20,20,80328.3,1534,1
large_11.txt,10,20,20,62556.4,2139,2
large_12.txt,10,20,20,612401.0,1762,1
large_13.txt,10,27,27,10215.8,7720,7
large_14.txt,10,27,27,84036.7,3847,3
large_15.txt,10,27,27,30171.7,5149,5
large_16.txt,10,27,27,225682.0,4621,4
large_17.txt,10,27,27,153085.0,7268,7
large_18.txt,10,27,27,1236240.0,5114,5
large_19.txt,20,53,53,41416.9,36223,36
large_2.txt,10,16,16,26087.4,715,0
large_20.txt,20,53,53,248540.0,31609,31
large_21.txt,20,53,53,105730.0,54644,54
large_22.txt,20,53,53,882088.0,32510,32
large_23.txt,20,53,53,591769.0,51904,51
large_24.txt,20,53,53,4874160.0,39690,39
large_25.txt,20,75,75,88254.5,161258,161
large_26.txt,20,75,75,351384.0,145210,145
large_27.txt,20,75,75,168607.0,119390,119
large_28.txt,20,75,75,1412420.0,150068,150
large_29.txt,20,75,75,927891.0,125655,125
large_3.txt,10,16,16,6691.71,1213,1
large_30.txt,20,75,75,9745580.0,129323,129
large_31.txt,30,110,110,206040.0,537450,537
large_32.txt,30,110,110,1173280.0,500040,500
large_33.txt,30,110,110,369134.0,337209,337
large_34.txt,30,110,110,3064010.0,538278,538
large_35.txt,30,110,110,1975260.0,445418,445
large_36.txt,30,110,110,18886600.0,701268,701
large_37.txt,30,162,162,508351.0,2207189,2207
large_38.txt,30,162,162,2447570.0,2230023,2230
large_39.txt,30,162,162,798902.0,1242088,1242
large_4.txt,10,16,16,49830.9,743,0
large_40.txt,30,162,162,5664720.0,1830644,1830
large_41.txt,30,162,162,6197910.0,1185511,1185
large_42.txt,30,162,162,44403300.0,1692867,1692
large_43.txt,30,232,232,837342.0,4480162,4480
large_44.txt,30,232,232,4585390.0,4595402,4595
large_45.txt,30,232,232,1876950.0,3654348,3654
large_46.txt,30,232,232,13255600.0,22980912,22980
large_47.txt,30,232,232,9502900.0,7715265,7715
large_48.txt,30,232,232,84470600.0,5334347,5334
large_5.txt,10,16,16,45697.9,1181,1
large_6.txt,10,16,16,647387.0,919,0
large_7.txt,10,20,20,6865.42,2483,2
large_8.txt,10,20,20,32859.3,2050,2
large_9.txt,10,20,20,12284.2,2465,2
small_1.txt,7,8,8,1130.41,182,0
small_10.txt,7,9,9,22273.7,187,0
small_11.txt,7,9,9,13144.0,264,0
small_12.txt,7,9,9,93620.6,183,0
small_13.txt,8,10,10,2490.87,344,0
small_14.txt,8,10,10,13121.6,230,0
small_15.txt,8,10,10,4110.82,346,0
small_16.txt,8,10,10,24512.4,314,0
small_17.txt,8,10,10,17685.5,341,0
small_18.txt,8,10,10,137343.0,282,0
small_2.txt,7,8,8,10969.9,122,0
small_3.txt,7,8,8,883.931,182,0
small_4.txt,7,8,8,21096.6,163,0
small_5.txt,7,8,8,11390.6,178,0
small_6.txt,7,8,8,146806.0,181,0
small_7.txt,7,9,9,1789.02,410,0
small_8.txt,7,9,9,9167.69,169,0
small_9.txt,7,9,9,2427.14,268,0
