Name,Number of nodes,Number of edges,Number of deliver edges,Cost,Time (ms),Time (s)
C_1.txt,11,13,7,1276.01,0,0
C_10.txt,14,32,12,53034.4,2,0
C_11.txt,14,32,17,51538.4,3,0
C_12.txt,14,32,18,532223.0,4,0
C_13.txt,17,35,21,6676.73,7,0
C_14.txt,17,35,17,36956.9,4,0
C_15.txt,17,35,21,14561.1,7,0
C_16.txt,17,35,15,54801.7,2,0
C_17.txt,17,35,16,59665.0,4,0
C_18.txt,17,35,16,623244.0,3,0
C_2.txt,11,13,7,10183.6,0,0
C_3.txt,11,13,4,840.035,0,0
C_4.txt,11,13,5,12268.1,0,0
C_5.txt,11,13,8,27624.8,0,0
C_6.txt,11,13,4,62559.7,0,0
C_7.txt,14,32,19,6616.96,5,0
C_8.txt,14,32,15,44151.6,2,0
C_9.txt,14,32,14,7660.18,2,0
E_1.txt,7,12,12,3001.44,1,0
E_10.txt,10,18,18,130968.0,4,0
E_11.txt,10,18,18,57945.7,4,0
E_12.txt,10,18,18,576867.0,5,0
E_13.txt,20,32,32,17727.9,23,0
E_14.txt,20,32,32,117500.0,25,0
E_15.txt,20,32,32,41872.6,23,0
E_16.txt,20,32,32,308377.0,23,0
E_17.txt,20,32,32,227804.0,24,0
E_18.txt,20,32,32,2097650.0,24,0
E_2.txt,7,12,12,17494.2,1,0
E_3.txt,7,12,12,4616.5,2,0
E_4.txt,7,12,12,29314.9,1,0
E_5.txt,7,12,12,25636.6,1,0
E_6.txt,7,12,12,284042.0,1,0
E_7.txt,10,18,18,4760.13,5,0
E_8.txt,10,18,18,40626.9,4,0
E_9.txt,10,18,18,8909.54,5,0
H_1.txt,6,11,6,1006.87,0,0
H_10.txt,10,30,16,59852.9,3,0
H_11.txt,11,35,16,11324.4,4,0
H_12.txt,11,35,8,39214.9,0,0
H_13.txt,12,40,26,16814.8,12,0
H_14.txt,12,40,21,167319.0,7,0
H_15.txt,14,48,23,22004.0,13,0
H_16.txt,14,48,24,264329.0,11,0
H_17.txt,18,22,13,7439.84,2,0
H_18.txt,18,22,13,74897.8,2,0
H_19.txt,21,26,15,10354.5,3,0
H_2.txt,6,11,3,2948.41,0,0
H_20.txt,21,26,13,77509.3,1,0
H_21.txt,24,30,17,24671.7,5,0
H_22.txt,24,30,16,132437.0,3,0
H_23.txt,27,33,15,17317.1,3,0
H_24.txt,27,33,14,97105.9,2,0
H_3.txt,7,15,4,326.349,0,0
H_4.txt,7,15,9,28379.1,0,0
