Name,Number of nodes,Number of edges,Number of deliver edges,Cost,Time (ms),Time (s)
C_1.txt,11,13,7,1276.01,0,0
C_10.txt,14,32,12,53034.4,1,0
C_11.txt,14,32,17,50640.7,3,0
C_12.txt,14,32,18,557387.0,5,0
C_13.txt,17,35,21,6961.13,6,0
C_14.txt,17,35,17,37859.5,4,0
C_15.txt,17,35,21,15069.8,6,0
C_16.txt,17,35,15,56928.7,3,0
C_17.txt,17,35,16,58058.3,3,0
C_18.txt,17,35,16,594924.0,3,0
C_2.txt,11,13,7,10123.7,0,0
C_3.txt,11,13,4,840.035,0,0
C_4.txt,11,13,5,12268.1,0,0
C_5.txt,11,13,8,27471.8,0,0
C_6.txt,11,13,4,62559.7,0,0
C_7.txt,14,32,19,6548.61,5,0
C_8.txt,14,32,15,44151.6,3,0
C_9.txt,14,32,14,7682.68,2,0
E_1.txt,7,12,12,2709.4,1,0
E_10.txt,10,18,18,128853.0,3,0
E_11.txt,10,18,18,57945.7,3,0
E_12.txt,10,18,18,548381.0,3,0
E_13.txt,20,32,32,18798.3,17,0
E_14.txt,20,32,32,149289.0,15,0
E_15.txt,20,32,32,46051.4,18,0
E_16.txt,20,32,32,305710.0,12,0
E_17.txt,20,32,32,226825.0,16,0
E_18.txt,20,32,32,1834030.0,16,0
E_2.txt,7,12,12,17494.2,1,0
E_3.txt,7,12,12,4616.5,1,0
E_4.txt,7,12,12,31093.7,1,0
E_5.txt,7,12,12,25636.6,1,0
E_6.txt,7,12,12,335906.0,1,0
E_7.txt,10,18,18,4719.23,4,0
E_8.txt,10,18,18,41870.9,4,0
E_9.txt,10,18,18,8950.98,3,0
H_1.txt,6,11,6,1006.87,0,0
H_10.txt,10,30,16,56983.6,3,0
H_11.txt,11,35,16,10788.5,3,0
H_12.txt,11,35,8,39214.9,0,0
H_13.txt,12,40,26,17173.0,10,0
H_14.txt,12,40,21,159255.0,6,0
H_15.txt,14,48,23,21567.0,8,0
H_16.txt,14,48,24,257723.0,9,0
H_17.txt,18,22,13,7489.54,2,0
H_18.txt,18,22,13,75955.5,2,0
H_19.txt,21,26,15,10354.5,2,0
H_2.txt,6,11,3,2948.41,0,0
H_20.txt,21,26,13,89506.3,2,0
H_21.txt,24,30,17,23956.0,4,0
H_22.txt,24,30,16,111762.0,4,0
H_23.txt,27,33,15,18759.6,3,0
H_24.txt,27,33,14,97105.9,3,0
H_3.txt,7,15,4,326.349,0,0
H_4.txt,7,15,9,28379.1,0,0
H_5.txt,8,20,9,2007.76,0,0
H_6.txt,8,20,4,6963.49,0,0
H_7.txt,9,25,11,2931.53,1,0
H_8.txt,9,25,12,39479.0,1,0
H_9.txt,10,30,16,8973.68,3,0
large_1.txt,10,16,16,5730.22,2,0
