Name,Number of nodes,Number of edges,Number of deliver edges,Cost,Time (ms),Time (s)
C_1.txt,11,13,7,1276.01,57,0
C_10.txt,14,32,12,52198.7,252,0
C_11.txt,14,32,17,47091.3,726,0
C_12.txt,14,32,18,517187.0,816,0
C_13.txt,17,35,21,6676.73,1260,1
C_14.txt,17,35,17,33229.1,833,0
C_15.txt,17,35,21,14561.1,1303,1
C_16.txt,17,35,15,54801.7,484,0
C_17.txt,17,35,16,57946.3,559,0
C_18.txt,17,35,16,556242.0,575,0
C_2.txt,11,13,7,10123.7,61,0
C_3.txt,11,13,4,790.26,14,0
C_4.txt,11,13,5,12268.1,27,0
C_5.txt,11,13,8,26442.8,80,0
C_6.txt,11,13,4,62559.7,13,0
C_7.txt,14,32,19,6285.15,961,0
C_8.txt,14,32,15,35672.2,473,0
C_9.txt,14,32,14,7636.87,393,0
E_1.txt,7,12,12,2574.37,259,0
E_10.txt,10,18,18,119829.0,835,0
E_11.txt,10,18,18,57945.7,868,0
E_12.txt,10,18,18,526928.0,825,0
E_13.txt,20,32,32,17727.9,4165,4
E_14.txt,20,32,32,117500.0,4320,4
E_15.txt,20,32,32,41872.6,4184,4
E_16.txt,20,32,32,308377.0,4056,4
E_17.txt,20,32,32,227804.0,4078,4
E_18.txt,20,32,32,2065430.0,4187,4
E_2.txt,7,12,12,15599.1,277,0
E_3.txt,7,12,12,4616.5,273,0
E_4.txt,7,12,12,27436.0,276,0
E_5.txt,7,12,12,25636.6,275,0
E_6.txt,7,12,12,278420.0,275,0
E_7.txt,10,18,18,4719.23,887,0
E_8.txt,10,18,18,37098.9,853,0
E_9.txt,10,18,18,8780.69,863,0
H_1.txt,6,11,6,967.267,45,0
H_10.txt,10,30,16,55122.6,575,0
H_11.txt,11,35,16,10254.9,584,0
H_12.txt,11,35,8,34064.9,97,0
H_13.txt,12,40,26,16814.8,2471,2
H_14.txt,12,40,21,167319.0,1564,1
H_15.txt,14,48,23,21375.5,1699,1
H_16.txt,14,48,24,253860.0,1923,1
H_17.txt,18,22,13,7053.47,353,0
H_18.txt,18,22,13,73902.0,349,0
H_19.txt,21,26,15,10159.8,512,0
H_2.txt,6,11,3,2948.41,9,0
H_20.txt,21,26,13,77509.3,345,0
H_21.txt,24,30,17,21722.1,772,0
H_22.txt,24,30,16,125033.0,574,0
H_23.txt,27,33,15,17317.1,492,0
H_24.txt,27,33,14,94507.2,416,0
H_3.txt,7,15,4,302.947,15,0
H_4.txt,7,15,9,28379.1,123,0
H_5.txt,8,20,9,1994.51,130,0
H_6.txt,8,20,4,6963.49,15,0
