Name,Number of nodes,Number of edges,Number of deliver edges,Cost,Time (ms),Time (s)
C_1.txt,11,13,7,1276.01,37,0
C_10.txt,14,32,12,52198.7,124,0
C_11.txt,14,32,17,47097.7,322,0
C_12.txt,14,32,18,512395.0,372,0
C_13.txt,17,35,21,6676.73,563,0
C_14.txt,17,35,17,33211.0,339,0
C_15.txt,17,35,21,14561.1,725,0
C_16.txt,17,35,15,54801.7,246,0
C_17.txt,17,35,16,57671.7,255,0
C_18.txt,17,35,16,576717.0,262,0
C_2.txt,11,13,7,10123.7,39,0
C_3.txt,11,13,4,790.26,12,0
C_4.txt,11,13,5,12268.1,28,0
C_5.txt,11,13,8,26442.8,52,0
C_6.txt,11,13,4,62559.7,12,0
C_7.txt,14,32,19,6285.15,471,0
C_8.txt,14,32,15,35672.2,215,0
C_9.txt,14,32,14,7636.87,187,0
E_1.txt,7,12,12,2574.37,140,0
E_10.txt,10,18,18,119829.0,424,0
E_11.txt,10,18,18,57945.7,468,0
E_12.txt,10,18,18,528224.0,373,0
E_13.txt,20,32,32,17727.9,2031,2
E_14.txt,20,32,32,117500.0,2026,2
E_15.txt,20,32,32,41872.6,2192,2
E_16.txt,20,32,32,308377.0,1892,1
E_17.txt,20,32,32,227804.0,1915,1
E_18.txt,20,32,32,2070810.0,2085,2
E_2.txt,7,12,12,15599.1,131,0
E_3.txt,7,12,12,4616.5,130,0
E_4.txt,7,12,12,27436.0,114,0
E_5.txt,7,12,12,25636.6,150,0
E_6.txt,7,12,12,279873.0,127,0
E_7.txt,10,18,18,4719.23,468,0
E_8.txt,10,18,18,37098.9,480,0
E_9.txt,10,18,18,8780.69,413,0
H_1.txt,6,11,6,967.267,31,0
H_10.txt,10,30,16,58028.7,264,0
H_11.txt,11,35,16,10376.9,272,0
H_12.txt,11,35,8,37785.3,58,0
H_13.txt,12,40,26,16814.8,1194,1
H_14.txt,12,40,21,167319.0,674,0
H_15.txt,14,48,23,21681.5,766,0
H_16.txt,14,48,24,253860.0,865,0
H_17.txt,18,22,13,7053.47,164,0
H_18.txt,18,22,13,73902.0,180,0
H_19.txt,21,26,15,10159.8,249,0
H_2.txt,6,11,3,2948.41,7,0
H_20.txt,21,26,13,77509.3,182,0
H_21.txt,24,30,17,21921.4,330,0
H_22.txt,24,30,16,130441.0,259,0
H_23.txt,27,33,15,17317.1,253,0
H_24.txt,27,33,14,91631.5,178,0
H_3.txt,7,15,4,302.947,13,0
H_4.txt,7,15,9,28379.1,71,0
H_5.txt,8,20,9,1994.51,77,0
H_6.txt,8,20,4,6963.49,14,0
H_7.txt,9,25,11,2931.16,103,0
H_8.txt,9,25,12,37907.4,127,0
H_9.txt,10,30,16,8752.01,275,0
large_1.txt,10,16,16,5224.29,282,0
large_10.txt,10,20,20,83553.4,533,0
large_11.txt,10,20,20,63647.3,539,0
large_12.txt,10,20,20,630635.0,564,0
large_13.txt,10,27,27,10411.8,1318,1
large_14.txt,10,27,27,94010.6,1314,1
large_15.txt,10,27,27,30171.7,1437,1
large_16.txt,10,27,27,249656.0,1276,1
large_17.txt,10,27,27,153085.0,1321,1
large_18.txt,10,27,27,1327160.0,1304,1
large_19.txt,20,53,53,42900.3,8921,8
large_2.txt,10,16,16,26267.8,286,0
large_20.txt,20,53,53,289880.0,9064,9
large_21.txt,20,53,53,111110.0,8986,8
large_22.txt,20,53,53,971983.0,9630,9
large_23.txt,20,53,53,651031.0,9086,9
large_24.txt,20,53,53,5553170.0,8989,8
large_25.txt,20,75,75,91049.2,27069,27
large_26.txt,20,75,75,422323.0,30368,30
large_27.txt,20,75,75,174669.0,32152,32
large_28.txt,20,75,75,1696230.0,29080,29
large_29.txt,20,75,75,973495.0,29826,29
large_3.txt,10,16,16,6691.71,363,0
large_30.txt,20,75,75,10906200.0,28996,28
large_31.txt,30,110,110,212196.0,80762,80
large_32.txt,30,110,110,1327270.0,90407,90
large_33.txt,30,110,110,382563.0,83328,83
large_34.txt,30,110,110,3709520.0,91430,91
large_35.txt,30,110,110,2077490.0,99129,99
large_36.txt,30,110,110,21061500.0,106230,106
large_37.txt,30,162,162,522429.0,354084,354
large_38.txt,30,162,162,2790770.0,326163,326
large_39.txt,30,162,162,836338.0,309233,309
large_4.txt,10,16,16,49830.9,292,0
large_40.txt,30,162,162,6322620.0,246267,246
large_41.txt,30,162,162,6547940.0,255216,255
large_42.txt,30,162,162,48325400.0,246708,246
large_43.txt,30,232,232,855945.0,729701,729
large_44.txt,30,232,232,5066090.0,680624,680
large_45.txt,30,232,232,1969330.0,679074,679
large_46.txt,30,232,232,14560600.0,816630,816
large_47.txt,30,232,232,10031900.0,704574,704
large_48.txt,30,232,232,91632200.0,724576,724
large_5.txt,10,16,16,45697.9,314,0
large_6.txt,10,16,16,649536.0,295,0
large_7.txt,10,20,20,6913.37,649,0
large_8.txt,10,20,20,38302.8,597,0
large_9.txt,10,20,20,12284.2,608,0
small_1.txt,7,8,8,1130.41,72,0
small_10.txt,7,9,9,22273.7,77,0
small_11.txt,7,9,9,13144.0,94,0
small_12.txt,7,9,9,93620.6,78,0
small_13.txt,8,10,10,2490.87,127,0
small_14.txt,8,10,10,13121.6,111,0
small_15.txt,8,10,10,4110.82,113,0
small_16.txt,8,10,10,24512.4,113,0
small_17.txt,8,10,10,17685.5,101,0
small_18.txt,8,10,10,137343.0,107,0
small_2.txt,7,8,8,10969.9,60,0
small_3.txt,7,8,8,883.931,60,0
small_4.txt,7,8,8,21096.6,68,0
small_5.txt,7,8,8,11390.6,64,0
small_6.txt,7,8,8,146806.0,67,0
small_7.txt,7,9,9,1789.02,78,0
small_8.txt,7,9,9,9167.69,87,0
small_9.txt,7,9,9,2427.14,90,0
